
ARTIGO 1:
mortos: 1
frequentar: 1
faculdade: 1
toma: 1
conhecimento: 1
organização: 1
esquerda: 1
contestatórios: 1
tornandose: 1
politizado: 1
flertar: 1
folclóricas: 1
partes: 1
mundofootnote: 1
discriminação: 1
pedem: 1
paz: 1
notase: 1
renovação: 1
poética: 1
motor: 1
tendo: 1
francês: 1
tomaram: 1
ruas: 1
paris: 1
protestar: 1
faculdades: 1
acabou: 1
tornando: 1
referencia: 1
decorrer: 1
lembrado: 1
revolução: 1
conclusão: 1
vimos: 1
marginais: 1
apresentavam: 1
distante: 1
aceito: 1
estruturais: 1
sofridas: 1
decorrentes: 1
divisão: 1
etária: 1
daí: 1
ócio: 1
consumismo: 1
feito: 1
falava: 1
canções: 1
favorecendo: 1
diálogo: 1
direto: 1
músico: 1
cantados: 1
privados: 1
armas: 1
imposta: 1
adaptando: 1
punk: 1
pop: 1
grunge: 1
psicodélico: 1
mantém: 1
dificulta: 1
desassociado: 1
feita: 1
referências: 1
bibliográficas: 1
wendel: 1
cenas: 1
punks: 1
darks: 1
espetáculo: 1
scritta: 1
criança: 1
guanabara: 1
altschuler: 1
gleen: 1
shook: 1
up: 1
how: 1
changed: 1
york: 1
oxford: 1
beebe: 1
roger: 1
fullbtook: 1
denise: 1
saunders: 1
ben: 1
org: 1
over: 1
edge: 1
transformations: 1
music: 1
culture: 1
pierre: 1
marco: 1
zero: 1
brandão: 1
antonio: 1
carlos: 1
duarte: 1
milton: 1
fernandes: 1
culturais: 1
moderna: 1
ruth: 1
bibliografia: 1
edusp: 1
story: 1
freedom: 1
new: 1
yorklondon: 1
norton: 1
company: 1
paul: 1
ed: 1
record: 1
madrid: 1
jucar: 1
diagnóstico: 1
zahar: 1
leerom: 1
rebels: 1
youth: 1
cold: 1
war: 1
origins: 1
identity: 1
reguillo: 1
rossana: 1
emergencias: 1
culturas: 1
juveniles: 1
estrategias: 1
desencanto: 1
argentina: 1
norma: 1

ARTIGO 2:
twospirits: 43
indivíduos: 40
povos: 39
pessoas: 31
indígenas: 28
originários: 22
roscoe: 19
sexo: 17
comunidades: 17
identidades: 15
processo: 15
governo: 15
terras: 14
twospirit: 14
tradução: 14
missionários: 14
territórios: 13
sociais: 12
identidade: 12
